male,5,11,39.808917197
female,9,12,32.497400234
female,8,13,30.862170858
male,8,12,28.30856334
male,9,12,27.454425653
male,9,14,25.076734039
male,6,11,24.880573248
male,9,15,22.911836136
male,9,14,22.123968204
male,8,11,22.11606511
male,5,15,22.11606511
male,11,10,21.873031427
male,9,15,21.435570799
female,9,9,21.231422505
female,9,14,20.99811017
male,8,13,20.845396642
male,5,12,20.614742184
male,8,14,20.414829332
male,3,12,18.939639628
male,6,13,18.702175865
female,6,10,18.515775441
male,6,11,18.473419092
male,5,13,18.462291147
male,8,9,18.373346399
male,12,11,18.373346399
male,11,12,17.692852088
male,10,13,17.31868301
male,5,12,17.233469821
female,6,14,16.971826768
male,8,12,16.854050941
male,6,15,16.798488136
female,9,12,16.780989711
male,10,14,16.65645071
female,4,12,16.472655392
male,9,15,16.331863466
male,10,12,16.229789319
female,9,13,16.003584803
male,9,15,15.938603297
male,9,12,15.923566879
male,7,12,15.923566879
male,6,13,15.923566879
female,7,11,15.923566879
male,9,15,15.716767309
male,9,13,15.311121999
male,9,12,15.311121999
male,9,12,15.311121999
male,7,11,15.311121999
female,9,15,15.311121999
female,9,14,15.311121999
female,10,12,15.311121999
female,10,14,15.127388535
male,8,15,15.004899559
male,6,13,14.698677119
female,8,14,14.698677119
female,7,15,14.649095565
male,5,11,14.623683868
male,9,15,14.618356479
male,8,12,14.392454679
male,5,14,14.382576536
male,11,13,14.345555747
male,8,15,14.336330309
male,9,14,14.297568853
male,7,14,14.290380532
male,9,15,14.147476727
female,8,15,14.102051849
female,7,10,14.091652105
female,7,14,13.998740113
male,9,12,13.859400802
male,7,14,13.846579895
male,8,14,13.800424628
male,9,15,13.780009799
male,9,13,13.780009799
male,8,13,13.780009799
male,7,12,13.771733517
male,9,13,13.609886221
male,5,14,13.609886221
male,5,12,13.525809704
male,9,15,13.491889178
male,6,12,13.480268257
male,9,12,13.473787359
male,7,11,13.469397073
male,7,11,13.381920627
male,9,14,13.221963716
female,9,12,13.178124314
male,9,13,13.167564919
male,9,12,13.167564919
male,12,12,13.167564919
male,11,12,13.159972627
female,8,12,13.087863188
male,8,14,13.081822636
male,7,13,12.950775281
female,7,15,12.948834605
male,10,12,12.926880861
female,7,14,12.861342479
female,10,13,12.861342479
male,9,12,12.853238294
male,10,13,12.827317764
female,8,12,12.786804018
male,8,13,12.744686312
male,4,16,12.738853503
female,8,15,12.669745799
male,8,15,12.555120039
female,6,14,12.552361278
female,7,12,12.535891451
male,11,12,12.489072062
male,8,15,12.397910952
